datetime,predicted precipitation,ground_truth,predict
2022-07-31 18:00,1.015494,3.0,"tensor(1, device='cuda:1')"
2022-07-31 19:00,1.169902,3.5,"tensor(1, device='cuda:1')"
2022-07-31 20:00,0.453054,0.5,"tensor(0, device='cuda:1')"
2022-08-02 21:00,0.986932,1.5,"tensor(1, device='cuda:1')"
2022-08-02 22:00,1.053203,2.0,"tensor(1, device='cuda:1')"
2022-08-02 23:00,0.496176,0.0,"tensor(0, device='cuda:1')"
2022-08-03 00:00,0.437333,0.5,"tensor(0, device='cuda:1')"
2022-08-03 01:00,4.351547,9.5,"tensor(2, device='cuda:1')"
2022-08-03 02:00,4.809682,7.5,"tensor(2, device='cuda:1')"
2022-08-03 03:00,1.100812,1.5,"tensor(1, device='cuda:1')"
2022-08-03 04:00,0.866558,3.0,"tensor(1, device='cuda:1')"
2022-08-03 05:00,1.084139,2.0,"tensor(1, device='cuda:1')"
2022-08-03 06:00,0.496245,0.5,"tensor(0, device='cuda:1')"
2022-08-03 07:00,0.484585,0.0,"tensor(0, device='cuda:1')"
2022-08-08 08:00,1.832349,2.5,"tensor(1, device='cuda:1')"
2022-08-08 09:00,0.414950,0.5,"tensor(0, device='cuda:1')"
2022-08-08 10:00,1.733653,1.0,"tensor(1, device='cuda:1')"
2022-08-08 11:00,1.930618,2.0,"tensor(1, device='cuda:1')"
2022-08-08 12:00,1.182443,4.0,"tensor(1, device='cuda:1')"
2022-08-08 13:00,4.886356,5.5,"tensor(2, device='cuda:1')"
2022-08-08 14:00,0.956923,4.0,"tensor(1, device='cuda:1')"
2022-08-08 15:00,0.322810,0.0,"tensor(0, device='cuda:1')"
2022-08-08 16:00,0.484875,0.0,"tensor(0, device='cuda:1')"
2022-08-08 17:00,0.513492,0.5,"tensor(0, device='cuda:1')"
2022-08-08 18:00,6.076837,8.5,"tensor(2, device='cuda:1')"
2022-08-09 10:00,0.448819,0.0,"tensor(0, device='cuda:1')"
2022-08-09 11:00,0.465353,0.0,"tensor(0, device='cuda:1')"
2022-08-09 12:00,0.378875,0.0,"tensor(0, device='cuda:1')"
2022-08-09 13:00,0.986368,1.5,"tensor(1, device='cuda:1')"
2022-08-09 14:00,6.285707,15.0,"tensor(2, device='cuda:1')"
2022-08-09 15:00,3.644768,9.5,"tensor(2, device='cuda:1')"
2022-08-09 16:00,6.728691,8.5,"tensor(2, device='cuda:1')"
2022-08-09 17:00,2.693750,12.5,"tensor(2, device='cuda:1')"
2022-08-09 18:00,6.908316,10.5,"tensor(2, device='cuda:1')"
2022-08-09 19:00,3.865338,6.0,"tensor(2, device='cuda:1')"
2022-08-09 20:00,4.838913,8.5,"tensor(2, device='cuda:1')"
2022-09-04 17:00,0.513506,0.5,"tensor(0, device='cuda:1')"
2022-09-04 18:00,0.582077,0.0,"tensor(0, device='cuda:1')"
2022-09-04 19:00,1.395163,1.0,"tensor(1, device='cuda:1')"
2022-09-04 20:00,1.374486,4.5,"tensor(1, device='cuda:1')"
2022-09-04 21:00,3.506621,5.0,"tensor(2, device='cuda:1')"
2022-09-04 22:00,3.439394,5.0,"tensor(2, device='cuda:1')"
2022-09-04 23:00,1.424631,4.5,"tensor(1, device='cuda:1')"
2022-09-05 00:00,2.671509,12.0,"tensor(2, device='cuda:1')"
2022-09-05 01:00,1.750298,6.5,"tensor(2, device='cuda:1')"
2022-09-05 02:00,5.871019,6.0,"tensor(2, device='cuda:1')"
2022-09-05 03:00,1.014395,1.0,"tensor(1, device='cuda:1')"
2022-09-05 18:00,3.534009,8.0,"tensor(2, device='cuda:1')"
2022-09-05 19:00,5.063698,9.0,"tensor(2, device='cuda:1')"
2022-09-05 20:00,4.498617,8.0,"tensor(2, device='cuda:1')"
2022-09-05 21:00,2.943956,7.5,"tensor(2, device='cuda:1')"
2022-09-05 22:00,5.186007,6.5,"tensor(2, device='cuda:1')"
2022-09-05 23:00,5.454016,10.0,"tensor(2, device='cuda:1')"
2022-09-06 00:00,7.424472,5.5,"tensor(2, device='cuda:1')"
2022-09-06 01:00,0.974566,4.5,"tensor(1, device='cuda:1')"
2022-09-06 02:00,5.930390,5.0,"tensor(2, device='cuda:1')"
2022-09-06 03:00,5.122733,6.5,"tensor(2, device='cuda:1')"
2022-09-06 04:00,3.878900,11.0,"tensor(2, device='cuda:1')"
2022-10-02 19:00,0.456233,0.0,"tensor(0, device='cuda:1')"
2022-10-02 20:00,0.514029,0.5,"tensor(0, device='cuda:1')"
2022-10-02 21:00,1.011026,1.5,"tensor(1, device='cuda:1')"
2022-10-02 22:00,1.069382,1.0,"tensor(1, device='cuda:1')"
2022-10-02 23:00,0.730964,2.0,"tensor(1, device='cuda:1')"
2022-10-03 00:00,2.282446,5.0,"tensor(2, device='cuda:1')"
2022-10-03 01:00,0.923197,4.0,"tensor(1, device='cuda:1')"
2022-10-03 02:00,1.583925,2.0,"tensor(1, device='cuda:1')"
2022-10-03 03:00,0.978928,1.0,"tensor(1, device='cuda:1')"
2022-10-03 04:00,1.044713,2.0,"tensor(1, device='cuda:1')"
2022-10-03 05:00,1.133218,1.5,"tensor(1, device='cuda:1')"
2022-10-03 17:00,0.447903,0.5,"tensor(0, device='cuda:1')"
2022-10-03 18:00,0.858151,1.0,"tensor(1, device='cuda:1')"
2022-10-03 19:00,0.475441,0.0,"tensor(0, device='cuda:1')"
2022-10-03 20:00,1.027962,2.5,"tensor(1, device='cuda:1')"
2022-10-03 21:00,2.741056,12.5,"tensor(2, device='cuda:1')"
2022-10-03 22:00,6.358009,14.0,"tensor(2, device='cuda:1')"
2022-10-03 23:00,5.599253,19.0,"tensor(2, device='cuda:1')"
2022-10-04 00:00,2.137722,7.5,"tensor(2, device='cuda:1')"
2022-10-04 01:00,1.141104,1.0,"tensor(1, device='cuda:1')"
